paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
QryPmx2MNh,6.0,Accept,3.50,Withdrawn (treated as Reject),Reject,NO,4.0,4.0,2.0,4.0,,,
rI2Fa13fUL,6.0,Accept,5.00,Reject,Reject,NO,6.0,6.0,4.0,4.0,,,
aiM6bRd6bG,6.0,Accept,4.00,Reject,Reject,NO,4.0,2.0,6.0,4.0,,,
rBj2iVyrhh,6.0,Accept,2.00,Reject,Reject,NO,2.0,2.0,2.0,2.0,,,
ey7CXUBn1g,6.0,Accept,3.00,Withdrawn (treated as Reject),Reject,NO,2.0,2.0,4.0,4.0,,,
RpDJz00zNh,6.0,Accept,4.50,Reject,Reject,NO,4.0,6.0,4.0,4.0,,,
7L7kmHHfgf,6.0,Accept,5.50,Accept (Poster),Accept,YES,4.0,6.0,6.0,6.0,,,
wUzBBsrdB1,6.0,Accept,5.00,Reject,Reject,NO,8.0,4.0,6.0,2.0,,,
FlcMckO6x5,6.0,Accept,6.00,Accept (Poster),Accept,YES,6.0,8.0,4.0,6.0,,,
Vit5M0G5Gb,6.0,Accept,6.00,Accept (Poster),Accept,YES,8.0,6.0,4.0,6.0,6.0,,
D5PJX02Jki,6.0,Accept,6.00,Accept (Poster),Accept,YES,8.0,6.0,4.0,6.0,,,
wSbVv6xaRr,6.0,Accept,4.00,Withdrawn (treated as Reject),Reject,NO,4.0,4.0,4.0,,,,
qSak1Hjfdq,6.0,Accept,5.00,Accept (Poster),Accept,YES,4.0,6.0,4.0,6.0,,,
ngOOlatCK6,6.0,Accept,5.33,Reject,Reject,NO,6.0,6.0,4.0,,,,
1EdAn5gMVv,6.0,Accept,5.00,Reject,Reject,NO,6.0,8.0,2.0,4.0,,,
piylyBPSau,6.0,Accept,4.00,Reject,Reject,NO,2.0,4.0,4.0,6.0,,,
pNpnqsn0Si,6.0,Accept,3.00,Reject,Reject,NO,4.0,2.0,4.0,2.0,,,
WhO6Km5Rku,6.0,Accept,4.00,Withdrawn (treated as Reject),Reject,NO,4.0,4.0,2.0,6.0,,,
Me0n0iESJY,6.0,Accept,6.00,Accept (Poster),Accept,YES,4.0,8.0,8.0,4.0,,,
Vgm77U4ojX,6.0,Accept,6.00,Accept (Poster),Accept,YES,6.0,8.0,6.0,4.0,6.0,,
bm3rbtEMFj,6.0,Accept,5.00,Accept (Poster),Accept,YES,6.0,6.0,4.0,4.0,,,
U6ROetm5nW,6.0,Accept,4.50,Withdrawn (treated as Reject),Reject,NO,8.0,6.0,2.0,2.0,,,
oiz0QHejVj,6.0,Accept,4.50,Reject,Reject,NO,4.0,6.0,4.0,4.0,,,
iIEEgI6WsF,6.0,Accept,5.50,Accept (Poster),Accept,YES,6.0,2.0,8.0,6.0,,,
PFhrOUJZ5o,6.0,Accept,5.00,Reject,Reject,NO,4.0,4.0,6.0,6.0,,,
C6WWMryELL,6.0,Accept,5.50,Reject,Reject,NO,6.0,4.0,6.0,6.0,,,
iDki7djO2K,6.0,Accept,4.00,Reject,Reject,NO,4.0,4.0,4.0,4.0,,,
b6qQmQ2F13,6.0,Accept,5.00,Accept (Poster),Accept,YES,2.0,6.0,6.0,6.0,,,
W42oLSwI9p,6.0,Accept,5.00,Reject,Reject,NO,4.0,4.0,6.0,6.0,,,
x6bG2Hoqdf,6.0,Accept,5.50,Accept (Poster),Accept,YES,8.0,2.0,8.0,4.0,,,
eETr3lrOQB,6.0,Accept,4.50,Accept (Poster),Accept,YES,4.0,8.0,2.0,4.0,,,
v05SW2X3IC,6.0,Accept,5.33,Accept (Poster),Accept,YES,6.0,6.0,4.0,,,,
kMfVTka2WB,6.0,Accept,2.00,Reject,Reject,NO,2.0,2.0,2.0,2.0,,,
MwuSvrthXq,6.0,Accept,4.00,Reject,Reject,NO,6.0,4.0,2.0,4.0,,,
DZUehXNiBn,6.0,Accept,4.00,Withdrawn (treated as Reject),Reject,NO,4.0,2.0,4.0,6.0,,,
mDuTDAK6KU,6.0,Accept,4.00,Withdrawn (treated as Reject),Reject,NO,2.0,8.0,2.0,4.0,,,
ahpO7S1Ppi,6.0,Accept,3.50,Reject,Reject,NO,2.0,4.0,4.0,4.0,,,
3icvqeC1sA,6.0,Accept,4.50,Reject,Reject,NO,6.0,2.0,4.0,6.0,,,
crKJJ4Ej60,6.0,Accept,5.33,Accept (Poster),Accept,YES,4.0,6.0,6.0,,,,
xFo13SaHQm,6.0,Accept,6.50,Accept (Poster),Accept,YES,6.0,6.0,6.0,8.0,,,
Kw2mvnzCoc,6.0,Accept,4.50,Accept (Poster),Accept,YES,6.0,6.0,4.0,2.0,,,
tswBfpkwHn,6.0,Accept,5.00,Reject,Reject,NO,6.0,4.0,6.0,4.0,,,
cEXEmyW77N,6.0,Accept,5.00,Accept (Poster),Accept,YES,4.0,6.0,6.0,4.0,,,
XX5EZoe4ec,6.0,Accept,2.00,Reject,Reject,NO,2.0,2.0,2.0,2.0,,,
opU91paIvZ,6.0,Accept,3.33,Withdrawn (treated as Reject),Reject,NO,6.0,2.0,2.0,,,,
XKLPlnfZzM,6.0,Accept,3.50,Reject,Reject,NO,6.0,4.0,2.0,2.0,,,
Rt9SeEAMWv,6.0,Accept,4.80,Reject,Reject,NO,6.0,4.0,2.0,6.0,6.0,,
0cbUKCyBsH,6.0,Accept,3.50,Reject,Reject,NO,4.0,2.0,4.0,4.0,,,
zKQSyT7a7n,6.0,Accept,6.00,Reject,Reject,NO,6.0,8.0,4.0,6.0,,,
dCtkwjkK0E,6.0,Accept,2.00,Reject,Reject,NO,2.0,2.0,2.0,2.0,,,
